,utterance,expected
190,Everything was wonderful!  What's my next step?  ,unknown
191,3bedroom 2 bath,unitAssignment
192,Which holidays are you closed for,leasingOfficeHolidays
193,how do i book a tour,tourBooking
194,Got a bridge between please don't give up on me I will be pulling out the application today thank you so much for continue to check on me I would like to try to get approved and moved in maybe the 30th or 31st,unknown
195,"Do you have any current leasing specials, offers, or promotions?",leasingOfficePromotion
196,Wrong direction,unknown
197,do -PRON- allow sublease,sublease
198,What is the lease lock in time,leasePeriod
199,can i come for tour?,tourBooking
200,Any specials,leasingOfficePromotion
201,can i stay for just a month,leasePeriod
202,Does this community feature air conditioning?,airConditioner
203,Im looking to move in on the 1st,unitAssignment
204,Hi Kelsey. Would that still be possible?,unknown
205,I want the space,parking
206,be there a parking space,parking
207,"would we be able to come tonight, around 5pm?",tourBooking
208,What are requirements to move in,moveInCost
209,be there any application fee for -PRON- property,applicationFee
210,"KIPP Zenith 11000 Scott st. Houston, Tx is where my daughter will be attending school. And I’m working 6516 Westheimer rd. Is it possible that you can find some places between these two addresses? So far from the list I like Westchase Preserve, and Briarwood.",unitAssignment
211,I try all day but no answer,unknown
212,do you have 2 bedroom avablity,unitAssignment
213,I don t need tour,unknown
214,When can i make a visit,tourBooking
215,1 bed one bath,unitAssignment
216,I want to reschedule my tour,rescheduleTour
217,Just making sure that the property is $1425 a month?,unitAssignment
218,Hey yes I'm interested in the apartment ,unitAssignment
219,okay thanks,unknown
220,How many charging ports are available,electricVehicleCharging
221,What is the walk score,nearbyAttractions
222,i want to schedule a tour,tourBooking
223,Thursday 6 is good 👍,unknown
224,Im out of town working but im relocating in Houston an im looking for an nice quiet area. I would like to know the pricings for 1 bedroom & if they were updated,unitAssignment
225,Hi there. Yes I will be there at 4pm for my tour today. Thank you,tourBooking
226,be renter 's insurance require,renterInsurance
227,"1 bedrooms , and 04/02/2022",unitAssignment
228,I dont recall asking about an apartment,unknown
229,Do you accept section 8 voucher,section8
230,I'm sorry I'm going to look at the list again and let you know which one I decide to tour.,tourBooking
231,Yeah that would be fine :),unknown
232,"Yes, I'll do Friday at 9 AM.",tourBooking
233,Can I make an appointment,tourBooking
234,21st april 9 pm,tourBooking
235,How much is the rent?,unitAssignment
236,"Are pets allowed at this community? If yes, what types/breeds are allowed and which breeds are prohibited? Additionally, If you have a pet policy posted online, please paste the link here.",pet
237,"Friday, 10:30Am",tourBooking
238,Or 6 month lease,leasePeriod
239,With deposit?,deposit
240,"Are furnished units available? If yes, what furnishings are included?",furnishedUnit
241,be there any application fee,applicationFee
242,I was hoping to take a look today. Is that possible?,tourBooking
243,Where you send for me?,unknown
244,looking for where close to the city,nearbyAttractions
245,Yes I would like a tour.,tourBooking
246,How often will rent be increased and by how much? (Please include a dollar or percentage amount),rentIncrementPolicy
247,Its fine works for me,unknown
248,On Wednesday,tourBooking
249,No I'm thinking of moving in may or June,unknown
250,"3 beds, 2 baths, and move in date april 21st",unitAssignment
251,That doesn't work. I get off work at 6,unknown
252,Will do.  Thanks!,unknown
253,I got a quote already,unknown
254,Hopefully I can remove they are in all your units,unknown
255,I just want to know if I can park in that space while waiting for my apt,parking
256,Thankyou,unknown
257,can i see the property from my phone/laptop,virtualTour
258,thank you,unknown
259,Can you share property website link,propertyWebsiteLink
260,1,unknown
261,A tour please,tourBooking
262,tell rent,unitAssignment
263,That would be perfect,unknown
264,But that's still pricey,unitAssignment
265,i have a pet be that alright,pet
266,Do you have tour availability next Saturday,tourBooking
267,I'm looking for a 1 bed 1 bath apartment for the start of may,unitAssignment
268,be there any income requirement,incomeRequirement
269,We can schedule a tour .,tourBooking
270,"Goodmorning, Yes I would love a tour but I'm moving from Norfolk va to Houston is their any way possible that I could do a virtual tour?",virtualTour
271,"Hello, I would like to schedule a tour for Saturday 13, I would like to see studio #302",tourBooking
272,Hello I'm looking at your website and it's not showing any 2/2 for may or price's how much are your 2/2 and when will it be available?,unitAssignment
273,I want to know more the unit?,unitAssignment
274,what is the minimum deposit,deposit
275,Can i come for tour?,tourBooking
276,Do you have one bedroom apartment available,unitAssignment
277,Thank you ! Do you know when they will be getting I. Touch with me ?,unknown
278,"Yes, I would like to schedule a tour",tourBooking
279,I would like to!,unknown
280,Do you allow fogs?,pet
281,1 bed 1 bath with washer dry connects,unitAssignment
282,Do you have other Apts available at that price?,moveInCost
283,I have been so busy with work and I work from 9pm to 7 am Sunday through Thursday nights. So when I get off I'm dragging myself because of the type of work I do,unknown
284,Hi Ryan! We spoke earlier and booked a tour for Monday at 1 pm :),tourBooking
285,"Please provide us the Name, Phone Number, and Email of your property leasing agent(s)?",leasingAgentContact
286,I just submitted the application,applicationProcess
287,What lease length options are offered? (please specify),leasePeriod
288,https://www.zumper.com/apartment-buildings/p268509/635-ellis-tenderloin-san-francisco-ca,propertyWebsiteLink
289,sorry but is this studio for 3 people?,unitAssignment
290,"Sorry, last question. What is the parking like for this building?",parking
291,can i come for a tour,tourBooking
292,I'm looking for 1 bed and 1 bath,unitAssignment
293,My credit is not good,unknown
294,How many,total_units
295,"Yes thank you
I'll be there ",unknown
296,Good morning I do my application a couple of days ago trying to see is my status,unknown
297,swimming pool,pool
298,What amenities do you offer at the property?,amenities
299,Sunday would work too :),tourBooking
300,Sorry but I understood that the tour was canceled.,unknown
301,"Hi Ryan, I have a question. There are two prices listed on both apartments.com and the link in your email. What is the price for the studios ?",unitAssignment
302,"Sorry about this but I have to cancel this appointment, I used Zillow to contact you but I was on 1490 pine not 1739, not sure why zilliow sent me to this address and not
The unit I was viewing",unknown
303,"Hi, my job temporarily shut down till Tuesday for some maintenance, any availability for a tour before then starting tomorrow ?",tourBooking
304,Ya I was wondering is the place fully furnished,furnishedUnit
305,I just booked it actually!,tourBooking
306,That is pricey,incomeRequirement
307,be there any utility offerre,utility
308,"Hi Ryan, yes I would like to schedule a tour but could we do Thursday instead? Thank you for getting back to me",tourBooking
309,Yes when I just called they said they are not doing tours,tourBooking
310,Hey can I call you,unknown
311,how much be the rent,unitAssignment
312,La ubicación,unknown
313,I'm looking for 1 or 2 bed apartment,unitAssignment
314,be there a laundry room onsite,laundry
315,be subleasing allow,sublease
316,How do i measure a good credit record,creditScore
317,I can't make my tour OR I need to cancel OR I won't be able to make it OR Please cancel my tour OR I can't make my tour,tourCancellation
318,Yes,unknown
319,i am looking for 1 bed and 1 bath,unitAssignment
320,i think we are good,unknown
321,I have a application I will bring it tomorrow at 12:00,applicationProcess
322,I can do a virtual tour if available as I am moving from California and will be in Houston Wednesday March 30th. Will you have a 2bed/2bath available?,unitAssignment
323,Okay perfect!! Thank You,unknown
324,Do u take second chance people,unknown
325,Sure. Budget of around. 700-800-900$ & only 1.,unitAssignment
326,Hey Kelsey. Thanks for the message. Actually I was wondering do you have any studios available? Also is month to month and option?,unitAssignment
327,I am looking to move mid-may,unitAssignment
328,That would be great. When would be a good time for you?,tourBooking
329,do utility cost more,utility
330,can i smoke,smoking
331,Yes what is the availability you guys have ?,unitAssignment
332,Questioned “I've scheduled you for 6 PM viewing on Tuesday 02/23/21. See you there! Take care.”,unknown
333,what is included in the common area,commonAreas
334,And yes I am interested,unknown
335,Additional information please,unknown
336,what is the rent??,unitAssignment
337,What is the pet pololicy,pet
338,Many thanks,unknown
339,"My budget is $1200, move-in date is July 1st, and it will be 4 occupants",unitAssignment
340,Hi! Thanks for reaching out!,unknown
341,Does this community feature a jacuzzi,hotTub
342,"Hi! Are you available tomorrow, Saturday?",leasingOfficeHoursSaturday
343,Do you have any one bedrooms available,unitAssignment
344,1 bedroom newly renovated and may 12,unitAssignment
345,"I would like to yes. Monday - Thursday after 5pm is when my wife and I would be available, is there a time next week that schedule might work?",tourBooking
346,monthly cost for the place,unitAssignment
347,Does this community feature a hot tub,hotTub
348,Ah. Thank you for reaching out. So I'm currently not based in SF and will be relocating next month. I have a colleague of mine who will check the apartment out on my behalf,tourBooking
349,I can come then,unknown
350,What are the parking options at the community?,parking
351,Testing again,unknown
352,"Hi, I'm looking for a 1 bedroom apartment on a 2 floor, I'll like to know the prices and availability.",unitAssignment
353,"Is there a guest policy? Please describe. Additionally, if you have a guest policy posted online, please paste the link here.",guestPolicy
354,Sure!! A virtual tour?,virtualTour
355,Good morning. Yes I am still interested,unknown
356,What is the minimum credit score requirement?,creditScore
357,I'll see if I can go tomorrow aftrr work ,tourBooking
358,How are utilities billed to residents?,utilityBilling
359,Yes Thank you for replying back to me so fast,unknown
360,"One bedroom, one bath. If there's a two bedroom available I wouldn't mind seeing it but a one bedroom is fine. 
I'm hoping to move in by May 1",unitAssignment
361,On what day of the month would rent be considered late? What is the late rent fee if rent is paid after that date?,rentLateFee
362,Do you have a guest policy?,guestPolicy
363,Yes I just called they have nothing until maybe May .,unknown
364,Unit 208.,unitAssignment
365,Thanks so much!,unknown
366,What type of tour options do you provide?,tourOptions
367,What holidays do you observe during which your leasing offices will be closed or have special hours?,leasingOfficeHolidays
368,I will let you know later today what day is best for me thanks,unitAssignment
369,600-800 move in date April 5 1 and 1 pet,unitAssignment
370,I would love to schedule an tour,tourBooking
371,Santa Clara is closer I work in Hayward at the Pepsi plant,unknown
372,Can i pay early to skip late fees,rentLateFee
373,can resident sublet,sublease
374,is there wheelchair access?,handicapPolicy
375,I am looking for 2 bedrooms and will move by april 9,unitAssignment
376,Yes,unknown
377,"Hi, yes I'm interested. Is it possible to do a remote tour? I'm actually moving to San Francisco for a job so I'm not in the city yet.",virtualTour
378,"Yes , I am still interested ",unitAssignment
379,Hola me interesa información adicional,unknown
380,What's the name of the place? And I would like to set up a tour,tourBooking
381,Wed Feb 17 11.30 am works for me,tourBooking
382,Can i have my family or friends over,guestPolicy
383,I have no pets my income is like 2500 I believe and 5 occuppants,unknown
384,Do I need a minimum credit score,creditScore
385,Because the other units are in soma area,nearbyAttractions
386,Does the rent increase over time?,rentIncrementPolicy
387,I will let my friend know and see what she says. Thank you!,unknown
388,do we have access to a gym,gym
389,can i book a tour with -PRON-,tourBooking
390,i be just wonder what be the amenity here,amenities
391,What is the name of the apartment?,community_name
392,Ok,unknown
393,Just need to know prices for now,unitAssignment
394,Dirección por favor,unknown
395,Yes! Parking is free?,parking
396,I will let you know by the end of next week!,unknown
397,Can you tell me about the current promotion?,leasingOfficePromotion
398,How much is the rent for a 1br apt?,unitAssignment
399,"Hello! I work until 5, but I'm off Wednesday at 1. Any availability Wednesday afternoon?",unitAssignment
400,Can I park in that space while viewing,parking
401,Not just yet. What are 2bd prices and what's include?,unitAssignment
402,It a have to be virtually.,virtualTour
403,I'll keep looking thanks so much,unknown
404,I cannot..I work during those hrs..im off work at 830pm,tourBooking
405,yes,unknown
406,Hey im interested  in the property,tourBooking
407,"Thank you, when we get to the place will this person be there?",unknown
408,Yes I would like to know more about the apartment,unknown
409,Yes please give me a call,unknown
410,Just leave me alone,unknown
411,How often will rent be increased?,rentIncrementPolicy
412,Laundry Facilities,laundry
413,What Studios do you have available in the mission district?,unitAssignment
414,What is the actual price monthly for the studio?,unitAssignment
415,"Hi Kelsey,
Ryan actually scheduled me for the open house tour @3:30 tomorrow.
I do appreciate your out reach.
Thanks so much,
Jayson",unknown
416,I just left downtown can send a virtual video or pics again ?,propertyWebsiteLink
417,i want to book a tour,tourBooking
418,Friday works! I'm a chef so work early morning at 6 till 2:30 so Friday works!,tourBooking
419,I need to move in as soon as possible,unitAssignment
420,do -PRON- need renter insurance,renterInsurance
421,Or 2bed/1bath is ok as well,unitAssignment
422,What's ur price on the 1 bedrooms,unitAssignment
423,"Do you accept applicants with broken lease or eviction history? If yes, how long ago must their broken lease or eviction have been?",evictionPolicy
424,Hi so I scheduled a tour and it's supposedly at this time. What number would I reach them at?,tourBooking
425,What is the address of the community?,community_address
426,Oh no worries,unknown
427,I tried to come before 3pm today.,unknown
428,Hola,unknown
429,"Hi, yes can i have more info. ",unknown
430,Do you offer virtual tours,virtualTour
431,Hi Kelsey. Thank you for reaching out. I would like to tour the apartment on Thursday at 2pm. An in-person tour would be best for me,tourBooking
432,I am currently in San Diego and would like a virtual tour today or tomorrow,virtualTour
433,12:00 PM,unknown
434,This place must be very nice,amenities
435,Perfect. Could you please share pictures of the interior of the units that are up for rent,amenities
436,"Hi Kelsey, I reached out to the leasing office and got to know that prices are upgrading. So I was wondering if I book earlier, would I get the prices mentioned in the website? 
Thanks a lot",unknown
437,No I don't really like that one.,unknown
438,Parking?,parking
439,be park extra,parking
440,What's the security deposit amount?,deposit
441,Okay an whats the difference between the one thats $720 & the $908,unitAssignment
442,Do you have a pet deposit/rent?,petRent
443,"
Should unarchive AGAIN",unknown
444,Maybe before that,unknown
445,Is there a fan in every bedroom,ceilingFans
446,Hi Kelsey! Sure! What time?,tourBooking
447,Is there any late charges?,rentLateFee
448,monthly charges,unitAssignment
449,what general amenity do this have,amenities
450,How much is the deposit again miss,deposit
451,I have time tomorrow and Wednesday-,tourBooking
452,Been working with John and Gustavo,unknown
453,"Thank you so much
Good night ",unknown
454,Will be available tomorrow morning 10am. Thank you for your response,tourBooking
455,Hi - not interested - thanks,unknown
456,saturday works,tourBooking
457,"It would be just me and my son, he's 3. Im 26. I am just looking for a better living situation for us. And affordable because I will be paying alone.",moveInCost
458,I'm getting ready to go back into work now I would like to talk to you at some point,tourBooking
459,Do you have pool?,pool
460,"Are you friendly pets, have a dryer and washers  in the apartment? ",utility
461,"If this is a robot, 2 bedroom 1 bath april 26th 2022",unitAssignment
462,"hi ryan, i was looking to learn more about the apartment and the requirements for applicant consideration.",applicationProcess
463,"3, preferably 4 beds/ 2 baths",unitAssignment
464,do you have health club,gym
465,Is there any security fee?,deposit
466,price for the property,unitAssignment
467,Yes if you have a 3/2 available downstairs now for rent.,unitAssignment
468,"Hi Kelsey, I will be in area April 20,-22",unknown
469,"meaning in great shape, breath able",unknown
470,"Perfect, thank you! ",unknown
471,"On the website it said a live video tour was an option, not just a  recorded video",tourOptions
472,1 bed 1 bath. Within 2nd week of April.,unitAssignment
473,hear*,unknown
474,what be the good feature of this apartment,amenities
475,Okay sounds good,unknown
476,Is all bills paid,applicationFee
477,be pool part of the amenity,pool
478,Prices,unitAssignment
479,do -PRON- allow pet in the apartment,pet
480,can i visit this monday?,tourBooking
481,I need talk to the leasing office,leaseOfficeContact
482,uinit 1 looks for good for me,unitAssignment
483,No answer,unknown
484,Si,unknown
485,The day is fine for me can we schedule the tour and you can help me to fill up the application I try to but I am missing some spots,tourBooking
486,Do you guys have a website?,propertyWebsiteLink
487,Stop,unknown
488,"Total move in $$,also if it is all bills paid",unknown
489,Yes please what are all your qualifications to move in how much is your deposit admin fee and application,applicationFee
490,hey,unknown
491,yess,unknown
492,Yes I would. I think I did a virtual tour,virtualTour
493,Hi yes my husband and I are relocating from Michigan to Texas. What are the qualifications to apply for apartment,unknown
494,Will you be able to do a virtual tour?,virtualTour
495,"Yes, I submitted the application about 3 minutes ago",applicationProcess
496,What is the process for application submission ?,applicationProcess
497,Hello do you have a 2 bdrm and how much,unitAssignment
498,could -PRON- highlight -PRON- top attraction,amenities
499,what's the rent control policy?,rentIncrementPolicy
500,Yes I will be coming today,tourBooking
501,"Can I see it tomorrow after work, 5:45pm?",tourBooking
502,How*,unknown
503,I am trying to come out to look at apartments in may. Definitely!,tourBooking
504,Do i need a backer,leaseGaurantor
505,Do you have rentals other than San Francisco,unitAssignment
506,I won't be available this Saturday,tourBooking
507,unit 2 is good for me,unitAssignment
508,what be full cost of move in,moveInCost
509,2bed 1 bath,unitAssignment
510,"No, I found a place. Thank you.",unknown
511,Is subleasing allowed?,sublease
512,"budget would be 1400h or $1500, move in date is 04/28/22, number of occupants is 3 an adult and 2 babies, and I need 3 bedrooms and 2 baths",unitAssignment
513,I'm looking to move in ASAP just needed to know like total move in price that I'll be looking at,moveInCost
514,What is your rent payment policy?,rentPaymentPolicy
515,Are there any extra utility charges,utilityBilling
516,I meant today at 2:45.,unknown
517,"Hi Kelsey, I called you a few minutes ago, and we agreed to call again on 29th of march",unknown
518,Yes one for tomorrow at 2 o'clock,tourBooking
519,Yeah I like that one. Are you guys primarily located in downtown sf?,community_address
520,Hey there sorry for not getting back to you sooner. I'm exploring a few other options I expect to work out so I'll reach out if not,unknown
521,What are the amenities? Is there a washer dryer in unit?,amenities
522,Good- thank you 🙏,unknown
523,Quería saber si puedo moverme hoy mismo?,unknown
524,How do i get to the lease office,leaseOfficeDirection
525,what amenity do this unit have,amenities
526,When can I come see the apartments and I wanted to inquire if you might have a 3 bedroom available,unitAssignment
527,"Is electricity, water, heating, trash, internet, gas included",utility
528,What is the rent for the 1 bedroom and location?,unitAssignment
529,Oh ok yes I don't have any pets at the moment only one occupant,unknown
530,"Hello Kelsey!  My apologies been such a busy week.  I actually scheduled a tour via email for Saturday (reply via sfrent.net)

I found the listing via hotpads.  Should I just have scheduled with you instead?",unknown
531,are there any charges for having a pet,petRent
532,Where you guys located,community_address
533,Yeah can I schedule a tour please,tourBooking
534,What are your leasing office hours on Saturday?,leasingOfficeHoursSaturday
535,I don't need a tour but I'm trying to figure out what exactly I'd be paying to move in asap,moveInCost
536,Hi Ryan! Thanks for a prompt repsonse. I would like to schedule a tour. Do you have any availability on the upcoming friday?,tourBooking
537,Are you going to tell me who this is?,unknown
538,can i bring in a dog,pet
539,12,unknown
540,Do you work with misdemeanors?,misdemeanorPolicy
541,be renter insurance mandatory,renterInsurance
542,What all things are there in common area,commonAreas
543,Let me get back to you. Ur address is not directly on public transportation. So am i trying to find something on it.,unknown
544,Yes that's fine.. February! 1 bed/ 1bath. No children nor pets.,unknown
545,I really need a w/d connections. Thank you,unknown
546,"Take me off your 
Contact list",unknown
547,what kind of amenity do -PRON- have,amenities
548,What is the price for a studio,unitAssignment
549,We are flexible. But looking for a 2-3 bedroom place.,unitAssignment
550,Hi Kelsey- no further information is needed at this time. I appreciate the follow-up!,unknown
551,can i come for tour?,tourBooking
552,Yea i would like to!,unknown
