utterance,expected
Philadelphia pa,UNKNOWN
The address int there,UNKNOWN
north Philadelphia west apartment,UNKNOWN
"The apartment I'm looking at says ""undisclosed address ""?",UNKNOWN
"Okay amazing, I'm looking pasadena and los angeles!",UNKNOWN
okay,UNKNOWN
I don't want a roommate . I am looking for  my own  room to rent. or studio,UNKNOWN
Do you have any locations in West Hollywood that has space for two people?,UNKNOWN
The spot I'm very interested in is 1458 W Cortez st looking to relocate soon,UNKNOWN
Can't able to see request to chat,UNKNOWN
Or can we scheule a tour and chat with the roommates ?,UNKNOWN
It's perfect and I contacted them through chat but I haven't heard anything back yet,RequestedChatNoResponse
Yeah and I started chats with all of them! Thank you so much with you help. Do people usually find rooms with your website?,RequestedChatYesResponse
Thank you so much. I've started a chat with the roommate who lives there.,RequestedChatYesResponse
"Can i get to know, when i am going to have chat with them?",UNKNOWN
Hi! I just restarted a chat with some potential roommates but I do have a few questions. How big are the rooms? Can they accommodate a queen size bed? Can I bring my own furniture for my bedroom or do I need to purchase/rent from the company that furnished the common areas? What is east Williamsburg like? Is it a safe neighborhood?,RequestedChatYesResponse
"Hey Kelsey, thanks for reaching out to me! I am new to this process and am a little confused on how to actually apply for a Bungalow room. I only saw a chat option and not an application. I am very interested in this room and would love to move forward in the rental process.",UNKNOWN
I've sent a chat request but haven't heard back yet.,RequestedChatNoResponse
"Hello, I have no clue how to chat or set up my profile. I would really appreciate the help . Yes I'm looking for a room , I was wondering the price.",DidNotRequestChat
"Liked “Please head over to the listing on our website here: https://bungalow.com/rooms-for-rent/san-diego/contemporary-chula-vista-apartment-near-palomar-st-station. Once you are on the listing page, look for the Orange/Pink “Get Started” button. From there you will be asked a series of questions regarding you and your rental preferences. Once you’ve created your profile, you can then request to chat with your potential roommate(s). Let me know once you’ve completed your profile.”",UNKNOWN
I just sent the request to chat!,RequestedChatYesResponse
Do I leave PC web page open or can I close it an poke some one new or is the sys limit to 1chat in waiting limit,UNKNOWN
Hello I have not had a response yet on the chat. I just finished my profile I'm new to the site not sure how it works.,DidNotRequestChat
I created a profile and requested a chat,RequestedChatYesResponse
Hi. My daughter has attempted to chat with the roommates and no one has answered. What does she need to do?,RequestedChatNoResponse
Hello Kelsey! I believe I just created a profile from an email I received and started a chat! Thank you so much!,RequestedChatYesResponse
Yea I did create the profile and started the chat,RequestedChatYesResponse
I sent a chat request already.,RequestedChatYesResponse
"Sure, I created the profile but I got rejected. Let me know if I could still chat with anyone of the people living there.",UNKNOWN
"Okay, I requested to chat. Now looking forward to talk to someone.",RequestedChatYesResponse
"Okay, I did that. Sent the chat request to two of the places.

I am looking for a place where I get my personal room, near Intuit (2600 Coast Ave M.V.) as I have to be there atleast 2 days a week.
Happy to be around people and their pets, I like cooking so a kitchen in the apartment is like cherry on top. 
And at last I am looking for low priced rooms around 900 to 1300 including everything.

Let me know if you get any place suitable for me.

Thank you.",RequestedChatYesResponse
"Okay, I've already completed my profile, the listing does say the roommates are looking for someone different so  I'm not sure if I should even chat with them, do you think it's still worth reaching out?",UNKNOWN
"Yup, I already sent the chat request. 
Please,  if you can ask them to check the message. It would be great.
Thank you.",RequestedChatYesResponse
I started chats with a few places,RequestedChatYesResponse
"No, how do I begin a chat with my potential roommates?",DidNotRequestChat
Yes I would like to know does the room already have a bed in it? Also yes I would like to start a chat with my potential roommates,DidNotRequestChat
"I have done that, and I have already created a chat with potential roommates",RequestedChatYesResponse
That sounds reasonable. I'll send the chat request then.,RequestedChatYesResponse
"Liked “Hi Nathan Moreta, this is Kelsey from Bungalow reaching out because I saw you submitted an inquiry for Beautiful Silver Lake home with backyard lounge. Do you have any questions about the room for rent or our rental process? If not, have you had a chance to create your profile and start a chat with your potential roommate(s)? Here to help!”",UNKNOWN
Yes I did request for a chat,RequestedChatYesResponse
I have not created a profile yet to chat with them. How can I do that?,DidNotRequestChat
Hi believe I tried to stablish a chat with a potential roommate more than 48 hs ago and didn't hear back. At the same time when I try to see all the chats tab there is no actual chat box but says complete application. I have also joined a wait list but not sure what that means. Thanks,RequestedChatNoResponse
How do I chat with them?,DidNotRequestChat
I've started a chat. Just awaiting their response. Thanks for reaching out!,RequestedChatYesResponse
"Yes, I have started a chat.",RequestedChatYesResponse
"Hi Kelsey, I'm setting all that up now yo chat with the ladies",DidNotRequestChat
Very frustrating. None has answered her request to chat so she can figure out if she would be a good match,RequestedChatNoResponse
"Hi. I couldn't find ""request chat button """,WaitlistEncountered
"So, some apartment room I found are also in waiting list as well?? Because i don't see the ""request chat button "" right?",WaitlistEncountered
"If I can find the ""request chat button "" that means it's available now, right??",WaitlistEncountered
Create a profile and chat with potential roommates?,DidNotRequestChat
I have not started a chat. I just saw the add on rent.com.,DidNotRequestChat
I'd like to start a chat with potential room mates too I would appreciate if you could please help me with that too,DidNotRequestChat
"Yes I did see the chat thing, I pushed it nothing happened",DidNotRequestChat
"Yes, I have questions about the rental process. No I haven't had a chance to have a chat or create a profile.",DidNotRequestChat
My son is trying to get in touch with one listing in Studio City. He's requested to chat but nobody replied. How long should we wait,RequestedChatNoResponse
No. I only created and completed my profile. No chat requests.,DidNotRequestChat
I've completed profile and sent a request to chat,RequestedChatYesResponse
"I created a profile and it prompted me to a chat, where I answered some questions",RequestedChatYesResponse
I requested to chat but it doesn’t show me where to tour it,RequestedChatYesResponse
Hey Kelsey! I haven't started my official job yet but I am part time at Sephora. I am looking to move quickly (two weeks) and I can pay three months of rent in advance. I'd love to be in the group chat,UNKNOWN
Well actually it looks like they sent me a request to chat but I can't accept it bc someone applied for the room,UNKNOWN
I've created a profile and I have reached out to chat with several properties. I'm waiting to get an invite,RequestedChatYesResponse
"Liked “Great! You’ve taken all the necessary actions to get the conversation started. When you submit a request to chat, your potential roommate(s) have 48 hours to respond. Give it some time and check out some additional listings while you wait! Let me know once contact has been made.”",UNKNOWN
I have started a profile and chatted some with potential roommates.  At the moment I have a incomplete application for a 3 month lease at a San Diego location.  I travel a lot for work and would have loved to have the flexibility and discount that comes with a longer agreement so was hoping you would have an existing option for that,RequestedChatYesResponse
how would i chat with my roommates ??,DidNotRequestChat
I sent the chat request,RequestedChatYesResponse
We can chat! Ask away.,UNKNOWN
How do I start the chat?,DidNotRequestChat
"I think so, with a chat on the side",UNKNOWN
I sent out chat requests yesterday and this morning. I'll just wait until I get a response I guess. I sent out several msgs and I guess I don't have any questions until someone responds,RequestedChatNoResponse
No I don't want to chat with room mate,UNKNOWN
Ok I think I've finished. Now just need to request chat,DidNotRequestChat
"I started a chat, but no response",RequestedChatNoResponse
"Morning, Kelsey. I have entered the chat and introduced myself in it but nobody seems to be responding. what should i do, then? what's the next step?

i really want to move in to this place as soon as possible",RequestedChatNoResponse
"Yes, I just created it and sent a chat request",RequestedChatYesResponse
I was originally chatting with Justina on Roomi,UNKNOWN
Hi! Ive already been chatting with the roommates and they want me to move in so they said they are going to forward my info to bungalow to get the application process going,RequestedChatYesResponse
I didn't want to request a chat for the place you gave me,UNKNOWN
It would let me send chat requests,UNKNOWN
"I'm sorry, I meant it's not letting me chat them",DidNotRequestChat
"Hello there! I have started a chat with them, I do have a question though , one of their rooms is 1.4 a month. Say if it's me and boyfriend that move into that room, can we pay that 1.4 between us?",RequestedChatYesResponse
"Oh yeah, i have applied to that room but the roommates did'nt accept My chat request, don't know why",RequestedChatNoResponse
Hey the roommate isn't responding in chat can I still apply ?,RequestedChatNoResponse
I submitted my chat request,RequestedChatYesResponse
"Thank you, there isn't a chat anymore for some reason could you help me connect with them?",UNKNOWN
"Yes I have, I've sent a few chats",RequestedChatYesResponse
Yes I've created a profile and started a chat with the renter,RequestedChatYesResponse
"I haven't chatted with the roommates yet, I am currently looking at other townhomes right now",DidNotRequestChat
Hi Kelsey only question is how much to move in and yes I would like to start a chat,DidNotRequestChat
He will have to long in on his account and chat with me or how it works?,DidNotRequestChat
I have sent the chat. Thanks!,RequestedChatYesResponse
I have started the chatting process. No response at this time. The move-in option was only available for March 1. Can this change to February 18?,RequestedChatNoResponse
Just sent them a chat :),RequestedChatYesResponse
I sent them a chat earlier today. Thanks so much!,RequestedChatYesResponse
I really like that one. I'm started a chat request,RequestedChatYesResponse
I started a chat,RequestedChatYesResponse
Requested to chat,RequestedChatYesResponse
I really like this one. The pricing is amazing. I've initiated a chat.,RequestedChatYesResponse
We are in the park and ready to chat,DidNotRequestChat
Present Pic right now and we are ready to chat,DidNotRequestChat
"Ready to chat, Please",DidNotRequestChat
Add me on Duo so we can video chat. Use this link: https://duo.app.goo.gl/hVY1jiH,UNKNOWN
For so MN e reason the chat is not going thur I've done it several times,RequestedChatNoResponse
I just sent a message I didn't start a chat or anything. I'm in San Diego,UNKNOWN
So I sent a chat to the property that's the one of a kind la brea home near the grove...,RequestedChatYesResponse
And how does the process work if a chat goes well,UNKNOWN
They didn't chat.,RequestedChatNoResponse
Loved “This first listing goes for $675/month: https://bungalow.com/rooms-for-rent/portland/sun-drenched-northwest-district-home-by/. Please advise me when you've sent request to chat so I can send you the 2nd listing. Thank you.”,UNKNOWN
Am not chat with anyone,UNKNOWN
"I am indeed logged in though I do not have this chats option I have renters, homeowners and reviews",DidNotRequestChat
"Yes, what are the requirements for rental. Is a down payment required.requires.
I haven't chat with potential roommates,  yet.",DidNotRequestChat
"Hi Kelsey, thanks for reaching out :). I made an account and started a chat with the current tenants, just waiting for a reply back! I will come here with any questions that pop up.",RequestedChatNoResponse
"Hello Kelsey, just started the process, started the chat request 
-thanks ",RequestedChatYesResponse
Questioned “Were you able to send the request to chat? I'll go and update your potential roommates if you have.”,UNKNOWN
I created a profile but haven't chatted w anyone but you,DidNotRequestChat
"Liked “Hi Richard Jackson, this is Kelsey from Bungalow reaching out because I saw you submitted an inquiry for Colonial-style Fort Dupont home near Fort Circle Park. Do you have any questions about the room for rent or our rental process? If not, have you had a chance to create your profile and start a chat with your potential roommate(s)? Here to help!”",UNKNOWN
I created a profile . Not sure how to request to chat with potential roommates,DidNotRequestChat
i've made my profile and it brought me to the chat,DidNotRequestChat
i like it i'll give them a chat,RequestedChatYesResponse
just sent the chat,RequestedChatYesResponse
"Hi! 

I created the profile and have been checking out some other openings as well. I am working now but but I plan on starting a chat with some of the properties once I have more free time later on. ",DidNotRequestChat
"Hey again Kelsey! I've finished making my profile and have requested to chat with future roomates, is there anything else I can do or should I just wait for a reply from them?",RequestedChatYesResponse
I've requested to chat!,RequestedChatYesResponse
Yes I requested to chat:),RequestedChatYesResponse
"Thank you for your early feedback, I thought I the profile was submitting the profile. Yes I would chat with the roommate,  how do I chat with the roommate.  I'm new to this type  of introduction.",DidNotRequestChat
Hey Kelsey! What's the process after the 48 hour chat window?,UNKNOWN
"I've created a profile and have the option to ""instant chat"" with several places based on preferences. But it says the window is 48 hours. I'm curious what happens after that window is up. For example, can I go see the space in person after the chat window before making a commitment? Or does that need to take place during the 48 hours?",UNKNOWN
Liked “Please update me once you're done creating a profile and send a request to chat.  I'll see what I can do to advise your potential roommates to respond to you as soon as possible.”,UNKNOWN
I just entered the chat room with them,RequestedChatYesResponse
All set up and about to sent first chat,RequestedChatYesResponse
"Thanks, sent a chat request and just waiting to hear back",RequestedChatYesResponse
Yeah they want me to get on a chat line to meet my roommates,DidNotRequestChat
"I can't find the request to chat, sorry... It's been a long day",WaitlistEncountered
"Yes how does your rental process work, since I currently live in iowa is there a way to do it online, also I have not but I would love to create a profile & chat with my potential roommates",UNKNOWN
The chat window is open for the next 48 hours:,UNKNOWN
I have completed my profile and want to chat with roommates.,DidNotRequestChat
I already send a chat,RequestedChatYesResponse
I have not had a chance to chat with roommates. I would like to apply.,DidNotRequestChat
Thank you! How do I submit a request to chat?,DidNotRequestChat
"Just starting, and yes want to start the chat. Anything else I need? I have a profile",DidNotRequestChat
I was not able to make a chat with them for some reason they haven't responded,RequestedChatNoResponse
Hi Kelsey! I haven't had the chance to create a profile or chat with potential roommates. I did have a question about the apartment. Are there any requirements like credit checks or minimum income requirements?,DidNotRequestChat
Yes i have created a profile so and sent a request to chat i am just waiting for them to answer. Thank you,RequestedChatYesResponse
Start a chat,RequestedChatYesResponse
I can't find the request chat button,DidNotRequestChat
"Hi Kelsey, yes I had a few questions. I am starting a new job on January 11th. I would be new to the area. 

I do have questions about the rental process. How do I apply? 

I have not created a profile to chat yet",DidNotRequestChat
I have just sent a chat using my account and still waiting for a reply.,RequestedChatNoResponse
"Hi! I set up my account, how do I chat with the roommates?",DidNotRequestChat
Let's chat tomorrow,UNKNOWN
"Hey Kelsey, thanks for reaching out. I just started chatting and creates my profile. No questions so far. I'd love to schedule a viewing",RequestedChatYesResponse
"Hi Kelsey,

I've just received the email with more information on the unit and the link to chat with the roommates. I'll check it out now and reach out if I have any questions.

Thank you so much!",RequestedChatYesResponse
"Hi Kelsey, Thanks for your message. I am unsure if I had submitted for Palace Court Apartments. Is it the one in San Diego? I'm looking for a 1 Bedroom 1 Bathroom so I am not sure if I have to chat with potential roommates for that.",UNKNOWN
Liked “We have a few properties in the area. Let me gather the information while you create a profile. Then I can send you some listings where you can start chatting with potential roommates.”,UNKNOWN
There's no Request to chat.,DidNotRequestChat
"Ok, I sent the chat",RequestedChatYesResponse
"I have not started my profile to chat with other roommates, but I wanted to know if you allow ESAs? Also I would like to see the property and move in as soon as possible, so could I set up a date to see it? Thank you!
",DidNotRequestChat
How do I submit for chat?,DidNotRequestChat
"Okay thank you, I requested to chat with them. Does this property or any of your other properties allow couples? I didn't see it on the listing",RequestedChatYesResponse
"So now I have 2 active chats, I have been turned down by one",UNKNOWN
I cannot request to chat this listing because were not a good match 😔,UNKNOWN
"Loved “I can help you with that! Please head over to the listing on our website here: https://bungalow.com/rooms-for-rent/portland/available-88-wonderful-northwest. Once you are on the listing page, look for the Orange/Pink “Get Started” button. From there you will be asked a series of questions regarding you and your rental preferences. Once you’ve created your profile, you can then request to chat with your potential roommate(s). Let me know once you’ve completed your profile. I’m here to help!”",UNKNOWN
Loved “Please update me once you're done creating a profile and send a request to chat. Thank you!”,UNKNOWN
"I am not sure, I reloaded the page and it looks like I was approved but I see there is an option to click that says ""chat with our team""",UNKNOWN
Let's move on. Actually for now let's just see who responds and chat again tomorrow. Thank you for all your help!,UNKNOWN
"No, I was just hoping to chat over text",UNKNOWN
"Hey Kelsey, I just wanna know what move-in timelines are like, haven't had a chance to chat with any potential roommates just yet, but will probably try to reach out tomorrow!",DidNotRequestChat
"Hello good morning 
Yes a did, I just completed the chat form:
Mmmm about the room 
Well I would like to see it  first if is possible 
Any time in the morning before noon 
Any days...",UNKNOWN
"Yes, I have sent a chat on the group!",RequestedChatYesResponse
Hey Kelsey no one has responded to the request chat on the home I'm interested in.,RequestedChatNoResponse
"Hey Kelsey! I have a Diggz account but didn't see the ability to chat with the existing roommates. The chat is through Diggz, correct? Also would I be signing for a year or just the remainder of their lease?",DidNotRequestChat
Where do I find the instant chat,DidNotRequestChat
OK I made a profile and I guess I'm waiting on the chat to come back as a reply,RequestedChatNoResponse
"Hi Kelsey! Thanks for reaching out! Yes, I have some questions about the room. Is the location nearby any CTA train stations? It's no big deal but just curious. Second, is there an income restriction? Not yet, but I'll work on my profile whenever I can. I'd love to start chat with my potential roommate(s) if possible. I really appreciate you being here to help!",UNKNOWN
"Hey! The profile is already done, but there was only one home that only lets me to request to chat to the roommates, but it's not the one that I wanted.",UNKNOWN
I've sent them a chat,RequestedChatYesResponse
I sent them a request to chat!,RequestedChatYesResponse
It won't even give me an option to request a chat,DidNotRequestChat
Hi Kelsey! Thank you for reaching out. I just saw the posting so I have not had a chance to create a profile or chat with anyone.,DidNotRequestChat
I have sent a request to chat,RequestedChatYesResponse
Just sent a request to chat! I'm planning to send a couple more before I turn in for the night,RequestedChatYesResponse
"Hey! I'm ready to proceed forward, and I would love to chat with my potential roommates. What would be my next steps to move forward. How do I create a profile?",DidNotRequestChat
I've answered a few questions and created a chat thread with the potential roomates,RequestedChatYesResponse
"i have an account, i think i made one. Do you chat with them first",DidNotRequestChat
"I made the profile and i chatted with them, i'll see if they get it tomorrow",RequestedChatYesResponse
"Hi Kelsey, thanks for reaching out. I have made a profile and started a chat. As far as the rental process, how long does the process usually take and are there any income restrictions?",RequestedChatYesResponse
"Hi Kelsey, I just started a chat with the roommates. In waiting for their response. Im very interested in the room and would love to rent. Im looking for a lease until around May 13th. My ideal move in date is Jan 14th which is next Friday. Please let me know what I can do to increase my chances of getting approved.",RequestedChatYesResponse
That one is beautiful I just sent a chat,RequestedChatYesResponse
"I'm pretty busy at work today, but if you see any rooms for rent at <$1000 per month within commuting distance of Bryant Park via public transit, please feel free to send them to me and I'll send a chat request.",UNKNOWN
Just sent them a chat too!,RequestedChatYesResponse
"Thanks for the help! 
I'm done sending a request to chat with a potential roommate",RequestedChatYesResponse
"Oh ok, I don't think it's gonna let me start a chat for some reason",DidNotRequestChat
I don't see a button to chat it says I may not be a fit for that home and it has a button saying see homes you match with,DidNotRequestChat
I finished sending a request to chat with potential roommates in that listing,RequestedChatYesResponse
Great! He said he sent a chat!,RequestedChatYesResponse
Where can I request to chat with potential roommates? I was also wondering if there are already people staying there,DidNotRequestChat
Can we chat on the phone? I have a couple of quick questions. Charlie 503-312-2485.,UNKNOWN
"Hi! For this listing there seems to be an error where I can't go past this page or click ""here's what's next"". I am able to begin chats with other listings though",RequestedChatYesResponse
I don't see anything that says request to chat or anything like that. Only black button is the one that says see homes you match with,DidNotRequestChat
I assume i search the home first on bungalow in order to chat?  I don't believe it was on bungalow that I first found this listing,DidNotRequestChat
Hey! I've created a profile and waiting to chat now. If I exit the app are the conversations still there?,UNKNOWN
Should I still chat?,DidNotRequestChat
I've sent a request to chat thank you,RequestedChatYesResponse
Ok so it's telling me I don't match the criteria because of my age I am 44 years old do I start the chat anyway,UNKNOWN
"Oh sorry, I accepted the chat invitation but then to confirm bedroom details, they're unavailable",UNKNOWN
It worked I started a new chat with both those houses,RequestedChatYesResponse
"It just doesn't give me an option, it says "" wait for the roommates to accept your chat request"" but they have already responded and asked me questions.",RequestedChatYesResponse
The gorgeous point Loma ended the chat I believe,UNKNOWN
I've actually sent out 3 chats.  2 are still open.,RequestedChatYesResponse
Haven't chatted,DidNotRequestChat
Please send request chat .,DidNotRequestChat
And no i have not had the chance to create a profile and chat,DidNotRequestChat
Am chatting and waiting reply I think 🤔,RequestedChatYesResponse
I will start chatting,RequestedChatYesResponse
No lost chat info.,UNKNOWN
"Hi Kelsey. No I have not created a profile or start a chat. I'm kind off new with the process, so if you could walk me through it I will appreciate it",DidNotRequestChat
Can you please notify the Modern Columbus roommates to check the chat?,UNKNOWN
Im reaching out because my understanding was that we only have 48 hours to chat and no more. Is that false?,UNKNOWN
Hi Kelsey! Thanks so much for the help. I sent a request to chat with a potential roommate for Logan Square and I'm actually allowed to apply for the Noble Square duplex,RequestedChatYesResponse
I was able to create a profile and obtained a link so I can chat with roommates Ty,RequestedChatYesResponse
I don't see where the chat is on site.,DidNotRequestChat
I did request a chat with a potential roomies I was interested in. But I'm not sure how it will turn out.,RequestedChatYesResponse
Yes I sent a chat already,RequestedChatYesResponse
Where to create a chat?,DidNotRequestChat
I just sent a chat request like you said,RequestedChatYesResponse
Well I attempted the chat but I was denied again. But I found another place that looked even better for me. So I am working on applying there,RequestedChatYesResponse
The roommates declined to chat.,RequestedChatNoResponse
Can I chat ?,DidNotRequestChat
"The only chat I can access is the ""chat with our team"" feature",WaitlistEncountered
"Here is a video of what happens when I try to start a chat with the roommates. As you can see, the website doesn't currently give me that option: https://threadit.app/thread/d9t45cr9vjqwl9zx7m0h",UNKNOWN
I am trying to get on the chat now. It is Bright Bed-Stuy apartment near S  L... 5 bd 2 available $690/mo,DidNotRequestChat
"My son will be the potential tenant, he will start a new job in Back Bay district. I will ask him to create the profile and chat with roommates. Thanks",DidNotRequestChat
"I have created a profile and sent a request to chat. I was wondering about the credit check, I do not have one as I've never had a credit card or taken out a loan. I can show proof of income and anything else that is required. Thanks",RequestedChatYesResponse
It won't let me request to chat,DidNotRequestChat
Doesn't let me request to chat,DidNotRequestChat
I have made a profile. Where do I send a request to chat?,DidNotRequestChat
Thank you. I will pass this info to her  tomorrow and she can do a chat. I appreciate your help.,DidNotRequestChat
No there is no chat button. It just describes the rooms.  On the bottom of the pages it says Waitlist only.,DidNotRequestChat
Liked “Alright! Please update me once you send a request to chat for the property in Oakland.  I'll see what I can do to advise your potential roommates to respond to you as soon as possible. Thank you.”,UNKNOWN
I chatted another one since I didn't like that one,RequestedChatYesResponse
I sent them a chat already though,RequestedChatYesResponse
I sent them a chat,RequestedChatYesResponse
Where can I find my possible roommates to chat with.,DidNotRequestChat
Ok I just found the instant chat. I'll let you know what happens.,RequestedChatYesResponse
There is no chat for first room. There is a chat for 2nd room.,WaitlistEncountered
"Thank you, I will request a chat. 
That is not a bad suggestion, though I am looking for female, though I will request a chat.
Looking forward for more, Haanah",RequestedChatYesResponse
Request to chat please,DidNotRequestChat
I clicked on the 935 a month one doesn't give the option to chat just the option to join a waitlist so I joined it,WaitlistEncountered
How do I request to chat with potential roommates,DidNotRequestChat
Hey Kelsey thank you! Just set up my profile and started the 48 hour chat. I'll let you know if I have any questions as I look through the app a bit more. I appreciate it,RequestedChatYesResponse
"Hi Kelsey, I ended up moving on with different option. Kindly discard my inquiry. Thank you.",UNKNOWN
I found a place already,UNKNOWN
I started the chat too,RequestedChatYesResponse
Hi Kelsey! I've been busy but I am. I was able to start a chat with with the occupants.,RequestedChatYesResponse
"Hi, I am interested in the place. I was able to get in contact with one of the roommates but have not been able to take a look.",RequestedChatYesResponse
