,Unnamed: 0,utterance,expected
315,335,Additional information please,unknown
316,540,Do you work with misdemeanors?,misdemeanorPolicy
317,707,What happens if I can't make the rent payment on time,rentLateFee
318,342,"Hi! Are you available tomorrow, Saturday?",leasingOfficeHoursSaturday
319,343,Do you have any one bedrooms available,unitAssignment
320,743,Ok sounds good,unknown
321,1280,"Hi Kelsey, I have a prior eviction from May of 2019; however I have rental history after that. Will that be a issue?",misdemeanorPolicy
322,1391,Do you Have washer and dryer hook up?,laundry
323,1004,be there hard income requirement,incomeRequirement
324,493,Hi yes my husband and I are relocating from Michigan to Texas. What are the qualifications to apply for apartment,unknown
325,409,Yes please give me a call,unknown
326,646,Can you provide tour video of the property,virtualTour
327,605,which location are you with?,community_address
328,29,Ok thank you,unknown
329,867,We we're heading from another place in Oakland,unknown
330,195,"Do you have any current leasing specials, offers, or promotions?",leasingOfficePromotion
331,417,i want to book a tour,tourBooking
332,58,Do i need a guarantor?,leaseGaurantor
333,111,be renter insurance require,renterInsurance
334,1439,cancel the tour,tourCancelled
335,791,Thank you! One more q would I be able to see a two bed room too and also what is the price diff,unitAssignment
336,587,More information for right now please. If any move in special and total move in cost,moveInCost
337,372,Can i pay early to skip late fees,rentLateFee
338,85,"Hello, I have the tour schedule it for 2/9 at 6 pm",tourBooking
339,986,On tomorrow morning,unknown
340,1456,"Yes yes hello, how much is rent for a 2bed 1 bath",unitAssignment
341,1115,My boyfriend is scheduled for a tour later today. His name is Jamen Suter-Donaldson!,tourBooking
342,1072,I want to know if it has been approved,applicationProcess
343,578,Please give me a call for questions. Thank You,unknown
344,1352,"I have a voucher for housing do you accept 
Positive Vibes Only ",leasingOfficePromotion
345,1381,Also just to let you know i was convicted od a DUI felony back in 2014 will this be an issue,misdemeanorPolicy
346,301,"Hi Ryan, I have a question. There are two prices listed on both apartments.com and the link in your email. What is the price for the studios ?",unitAssignment
347,1044,Where can i walk to near the house,nearbyAttractions
348,1293,Are there any move in specials going on at this time?,leasingOfficePromotion
349,72,Where are you located?,community_address
350,1118,Please describe the application process in detail. Be sure to include which documents are required for an application.,applicationProcess
351,887,Yes,unknown
352,285,"Please provide us the Name, Phone Number, and Email of your property leasing agent(s)?",leasingAgentContact
353,169,do -PRON- come with onsite laundry,laundry
354,324,Do u take second chance people,unknown
355,987,A tour of that pussy,unknown
356,80,"Hi yes I was wanting to more information about the unit. How much does a 2 bed cost, and what is the deposit and application fee ?",applicationFee
357,1061,2bath 3bed is good for me,unitAssignment
358,720,Is there any one time shifting charges,moveInCost
359,1301,can it be virtually,virtualTour
360,652,What is the deposit?,deposit
361,955,Um sure for tomorrow I have a bunch of tours tomorrow so I can let you know that whenever I'm done with those thank you,tourBooking
362,1169,can i come for tour,tourBooking
363,943,"Hi. I have not seen another place yet, but my husband said I should hold on, the place is too far to his office. Thanks",unknown
364,282,Do you have other Apts available at that price?,moveInCost
365,471,"On the website it said a live video tour was an option, not just a  recorded video",tourOptions
366,825,Also just to let you know i was convicted od a DUI felony back in 2014 will this be an issue,misdemeanorPolicy
367,742,What is monthly rent ?,unitAssignment
368,597,I understand thank you. Can I come in this Friday at 4pm?,tourBooking
369,1286,"Hi yes! 
 So I'm currently in Alabama and planning to move there sometime in June. 
 Is there a way I can set up a virtual tour or get a video of the 3bedroom unit.",virtualTour
370,889,yeah sure,unknown
371,759,Ok no problem I left a voicemail   So hopefully they get back to me this week,unknown
372,143,(To apply as a tenant),applicationProcess
373,782,Thank you for reaching out! Yeah I was able to talk to someone earlier.... I will be there 😬,tourBooking
374,529,Oh ok yes I don't have any pets at the moment only one occupant,unknown
375,1154,"My budget would be $900, move in date would be April 15th, 1 occupant",unitAssignment
376,487,Stop,unknown
377,1310,I was wondering how much are y'all studios,unitAssignment
378,1053,or actually the weekend of the 19th/20th would be better,tourBooking
379,644,"Yes, I would like to schedule a tour",tourBooking
380,572,Ok sounds good thanks. And is there any security deposit discount available?,deposit
381,89,Do you allow domestic animals,pet
382,744,how much and when can i move in,unitAssignment
383,439,be park extra,parking
384,259,Can you share property website link,propertyWebsiteLink
385,977,Can you provide me an online tour?,virtualTour
386,751,I want to cancel the tour,tourCancellation
387,299,Sunday would work too :),tourBooking
388,683,Do you allow lease guarantors?,leaseGaurantor
389,1428,I'm looking for something more of $2200 or less,wantsLessExpensiveUnit
390,516,I meant today at 2:45.,unknown
391,924,Can you show me the property on a video call,virtualTour
392,1105,Had to do something for my job !,unknown
393,1140,I'd love to set up a time to go look at this property,tourBooking
394,666,I am looking for two bedrooms and two bathrooms,unitAssignment
395,527,"Is electricity, water, heating, trash, internet, gas included",utility
396,758,0-bcce-26e6dd5fb92e&bsft_pid=fce702a5-625b-4905-84b9-ff13b512ee06&utm_campaign=1-week-reminder-for-viewed-in-last-day&utm_source=blueshift&utm_medium=email&bsft,unknown
397,333,what is included in the common area,commonAreas
398,1285,My first question would be. Do you accept applicants with broken lease?,evictionPolicy
399,102,I am looking for 3 bedroom,unitAssignment
400,539,12,unknown
401,526,When can I come see the apartments and I wanted to inquire if you might have a 3 bedroom available,unitAssignment
402,433,12:00 PM,unknown
403,967,Additional info.,unknown
404,1165,when do -PRON- have the place for rent and how much be -PRON-,unitAssignment
405,1438,I want to cancel,tourCancelled
406,1309,I would like to know how much is a 2b 2b?,unitAssignment
407,1187,can i come for tour?,tourBooking
408,724,Do you have a video tour i can see,virtualTour
409,1222,"Yes , what does it take to get in ? Money wise I mean",moveInCost
410,294,How many,total_units
411,959,Yes,unknown
412,461,"If this is a robot, 2 bedroom 1 bath april 26th 2022",unitAssignment
413,242,I was hoping to take a look today. Is that possible?,tourBooking
414,919,"Are pets allowed
",pet
415,1373,How much 1 bed,unitAssignment
416,1095,1 bedroom next month,unitAssignment
417,544,Yes that's fine.. February! 1 bed/ 1bath. No children nor pets.,unknown
418,1173,what be -PRON- income requirement,incomeRequirement
419,1057,Do you accept applicants with felonies on their record?,feloniesPolicy
420,38,Hey! Thanks for reaching out. I won't be able to until next week,unknown
421,393,Just need to know prices for now,unitAssignment
422,1225,Do I need to make a deposit?,deposit
423,821,"If yes, how much is rent ? ",unitAssignment
424,533,Yeah can I schedule a tour please,tourBooking
425,1202,I'm wondering the prices for a efficiency or 1 bedroom,unitAssignment
426,1033,Can i have cigarettes in building,smoking
427,1226,"I am not in Houston, TX so virtual tour is better for me",virtualTour
428,886,"I'm looking for a 2BR, 2BA. Is there any available now?",unitAssignment
429,513,I'm looking to move in ASAP just needed to know like total move in price that I'll be looking at,moveInCost
430,1020,"Hi Ryan, thanks for reaching out.  I would like to schedule a tour. Any chance that tomorrow morning would work?",tourBooking
431,819,what cool amenity do -PRON- have,amenities
432,748,Can we do a tour Tuesday?,tourBooking
433,1111,Yes about your rent special,unknown
434,860,Ok just making sure cause I planned on paying online! An 3x the rent so that should be like 3000 a month then?,unknown
435,799,Start an app and I'm waiting for an approval response.,applicationProcess
436,470,"Perfect, thank you! ",unknown
437,833,Do you have any available?,unitAssignment
438,929,how much per month,unitAssignment
439,147,No washer and dryer connection.,laundry
440,1200,"Hi. Yeah, I just moved to Houston from California a few months ago. I'm just looking for a decent place I can afford on my own. I'm a student, so I'm finding out that it's difficult to study with roommates constantly making lots of noise. What is the lowest rental at Chestnut Hill?",unitAssignment
441,241,be there any application fee,applicationFee
442,375,I am looking for 2 bedrooms and will move by april 9,unitAssignment
443,190,Everything was wonderful!  What's my next step?  ,unknown
444,327,I am looking to move mid-may,unitAssignment
445,1348,"Okay, when will my application be reviewed",applicationProcess
446,1191,Today would be great for 11am,tourBooking
447,1149,The 6th would be perfect,unknown
448,511,Is subleasing allowed?,sublease
449,254,Hopefully I can remove they are in all your units,unknown
450,709,Is the electric included,unknown
451,538,can i bring in a dog,pet
452,336,what is the rent??,unitAssignment
453,508,what be full cost of move in,moveInCost
454,553,Do you have a parking area?,parking
455,757,Ok I will be willing to take a tour on Monday morning I will message tomorrow,tourBooking
456,499,what's the rent control policy?,rentIncrementPolicy
457,203,Im looking to move in on the 1st,unitAssignment
458,1230,Is there a way I can just fill out an online application,applicationProcess
459,995,how many pet can i have,pet
460,785,can I come this monday?,tourBooking
461,1137,Then with all the other money I get and help from my dad I'll be able to afford everything :),unknown
462,348,Ah. Thank you for reaching out. So I'm currently not based in SF and will be relocating next month. I have a colleague of mine who will check the apartment out on my behalf,tourBooking
463,341,Does this community feature a jacuzzi,hotTub
464,1088,Yes that does! What is the pet policy in place at your apartment?,pet
465,207,"would we be able to come tonight, around 5pm?",tourBooking
466,875,Do you accept Section 8?,section8
467,568,yes,unknown
468,248,On Wednesday,tourBooking
469,1026,I'm sorry imma try in come in today ,unknown
470,700,Unit options,unitAssignment
471,872,Do you have ceiling fans?,ceilingFans
472,414,What is the actual price monthly for the studio?,unitAssignment
473,484,Si,unknown
474,136,"I work for Ambit Energy and wanted to let you know about our customer referral program. Each resident you send to me that signs up for electricity service, our team can pay you $50 for each one!",unknown
475,849,If that's possible ,unknown
476,1372,What is the price for a two bed room apartment?,unitAssignment
477,1355,It will be me and my 3 kids which are all under 8 years old. I make around $5200 per month but looking for something around or under 1200 a month.,unitAssignment
478,898,"Ok, I can be there 4-4:15. Ok for you? Parking?",parking
479,0,5/14/2022 . & 2 beds,unitAssignment
480,892,what length of lease do -PRON- guy have,leasePeriod
481,396,I will let you know by the end of next week!,unknown
482,765,I thought y'all had other properties like you guys were connected?,unknown
483,292,I'm looking for 1 bed and 1 bath,unitAssignment
484,1049,Sure but you know we are moving in may at most,unknown
485,1150,Yo aplique ayer?,unknown
486,1354,What does the apartment include?,amenities
487,851,How much does utility cost by month,utilityBilling
488,1002,Would like a tour yes,tourBooking
489,689,Muchas gracias feliz tarde amigo !!,unknown
490,761,Are people with a broken lease history allowed,evictionPolicy
491,794,"Hi, sorry for the late response. I just seem that I'm not qualified, because my income is not enough.",unitAssignment
492,459,Do you have pool?,pool
493,978,Let go with Thursday at 6,tourBooking
494,362,Do you have a guest policy?,guestPolicy
495,1412,Do you have something cheaper unit,wantsLessExpensiveUnit
496,444,Maybe before that,unknown
497,1389,How much is the deposit again miss,deposit
498,383,I have no pets my income is like 2500 I believe and 5 occuppants,unknown
499,554,What time? When?,unknown
500,756,I'm sorry I don't have any pets. ,pet
501,30,do you allow cats,pet
502,582,Total Units in Building,total_units
503,1050,Anytime tomorrow is fine,tourBooking
