,utterance,expected,predicted,score
80,pets ?,pet,unknown,0.28987986
81,"Hello, I have the tour schedule it for 2/9 at 6 pm",tourBooking,unknown,0.33223763
82,"Hello Kelsey, I currently reside in NY. Do you do virtual tours? ",virtualTour,tourBooking,0.19064294
83,"Hi, is this regarding a studio apartment?",unknown,unknown,0.11282415
84,Hi Kelsey! Sure! What time?,tourBooking,unknown,0.653317
85,I do apologize for the late response. I am at work. But I was specifically interested in seeing unit #05 that I saw advertised for $1195 per month.,tourBooking,unknown,0.41749144
86,(To apply as a tenant),applicationProcess,unknown,0.039092377
87,That would be wonderful too actually thank you!,unknown,unknown,0.67016184
88,Ah. Thank you for reaching out. So I'm currently not based in SF and will be relocating next month. I have a colleague of mine who will check the apartment out on my behalf,tourBooking,unknown,0.4451833
89,"Hi Kelsey,
Ryan actually scheduled me for the open house tour @3:30 tomorrow.
I do appreciate your out reach.
Thanks so much,
Jayson ",unknown,unknown,0.55287015
90,I can't tomorrow I was wondering if you have any available for next Friday,tourBooking,unknown,0.38131407
91,"Hello Kelsey!  My apologies been such a busy week.  I actually scheduled a tour via email for Saturday (reply via sfrent.net)

I found the listing via hotpads.  Should I just have scheduled with you instead?",unknown,unknown,0.3699998
92,"Yes, I would like to schedule a tour",tourBooking,unknown,0.34887093
93,Hi Ryan! We spoke earlier and booked a tour for Monday at 1 pm :),tourBooking,unknown,0.31698775
94,"Hi Ryan! Thanks for your email. 

I just wanted to confirm the cost of rent for the places you sent over. I noticed the move-in costs but wanted to clarify everything before moving forward. ",moveInCost,unknown,0.44742173
95,Are there any Sunday tours,tourBooking,tourBooking,0.1675235
96,"Obviously you didn't list any for Monday, but in case anything opens up please feel free to notify me",leasingOfficeHoursMonday,unknown,0.45890048
97,"Quick question, were you talking about today or tomorrow for the 3:30 tour?",tourBooking,tourBooking,0.25315693
98,Hey! Thanks for reaching out. I won't be able to until next week,unknown,unknown,0.6216047
99,"Yes,A 1BdrmOr Studio, However, Do You Accept Section 8?&Is It Possible To Prorate The Security Deposit In Addition To Rent Payment Until The Security Deposit Amount Is Paid In Full? Also How Is Rent For Apts There,& Security Deposit?",section8,unitAssignment,0.21738176
100,What's the name of the place? And I would like to set up a tour,tourBooking,tourBooking,0.16536863
101,Is pets allowed?,pet,unknown,0.04380475
102,rent ?,whatIntent_rent,unknown,0.40789413
103,what is the rent?,whatIntent_rent,unitAssignment,0.43507275
104,"Yes, I am looking for a rental in the right location. ",unknown,unknown,0.38175663
105,I'm not looking for a rental anymore. Please close this out. Thanks!,unknown,unknown,0.54045665
106,what is the rent??,whatIntent_rent,unitAssignment,0.45014906
107,"Hi Ryan, I'd be interested to get a virtual tour if possible first and more details about building before coming in for a tour",virtualTour,tourBooking,0.32075393
108,"Hello! I work until 5, but I'm off Wednesday at 1. Any availability Wednesday afternoon?",leasingOfficeHoursWednesday,unknown,0.33898902
109,How much is the rent for a 1br apt?,whatIntent_rent,unitAssignment,0.6292537
110,Sure!! A virtual tour?,virtualTour,unknown,0.41194054
111,Studio and 1 bedroom,unknown,unitAssignment,0.51759034
112,"Hi Ryan, yes I would like to schedule a tour but could we do Thursday instead? Thank you for getting back to me",tourBooking,unknown,0.39741766
113,I just booked it actually!,tourBooking,unknown,0.6089625
114,Sure that would be great,unknown,unknown,0.66880405
115,Its fine works for me,unknown,unknown,0.5819397
116,Thanks so much!,unknown,unknown,0.71283394
117,Sure! I can come by today or on Thursday,tourBooking,unknown,0.5437387
118,Thank you for reaching out! Yeah I was able to talk to someone earlier.... I will be there 😬,tourBooking,unknown,0.61243427
119,Thanks so much,unknown,unknown,0.7163722
120,Hey im interested  in the property,tourBooking,unknown,0.50980467
121,Are there 1 bedrooms,unknown,unitAssignment,0.5496597
122,Does it except pets,pet,unknown,0.05548279
123,If not ill take the 2 bedroom,tourBooking,unitAssignment,0.6526722
124,Also I went to see the 2210 107 place yesterday and the property manager said they allow pets,pet,unknown,0.09569728
125,Do you allow dogs?,pet,tourBooking,0.036769588
126,That doesn't work. I get off work at 6,unknown,unknown,0.45065552
127,or actually the weekend of the 19th/20th would be better,tourBooking,unknown,0.54850364
128,"You mentioned tomorrow, is that still an option? If not, yes please register me for Saturday. I am very interested in seeing the place.",tourBooking,unknown,0.41068193
129,Had to do something for my job !,unknown,unknown,0.61677
130,I'm not available on the weekend,tourBooking,unknown,0.38521156
131,Great thank you so much!!,unknown,unknown,0.7139687
132,Do you allow pets?,pet,unitAssignment,0.040264506
133,I would!,unknown,unknown,0.7051928
134,Studio and $1245 and under price,whatIntent_rent,unitAssignment,0.6432457
135,Been working with John and Gustavo,unknown,unknown,0.6263626
136,You are so awesome much appreciated,unknown,unknown,0.70570314
137,Beautiful architecture inside,amenities,unknown,0.41967118
138,Yes! Parking is free?,parking,unknown,0.17581925
139,"designated parking space for your car. It's located in #10 Studio
1739",parking,unknown,0.2938519
140,Hopefully I can remove they are in all your units,unknown,unknown,0.45427188
141,I just started new job and in Sunnyvale I am there Saturday and Monday 11-3,unknown,unknown,0.39243117
142,Is utilities included and heat,utility,amenities,0.039071873
143,"And is this promotion still valid

I sent you an email about it . : $ 2500 REIMBURSEMENT FOR MOVE IN / FURNITURE COST AND NO APPLICATION FEE
Exclusions may ",whatIntent_rent,unitAssignment,0.32554066
144,apply.,applicationProcess,unknown,0.50883305
145,"your friend. No worries, Let's get you a safe location and a peaceful ",unknown,unknown,0.5736618
146,"• Street parking only costs?

I don't like a ladder in the middle of ",parking,unitAssignment,0.21163212
147,Says street parking only,parking,unknown,0.12768202
148,Can I park in that space while viewing,parking,tourBooking,0.07323049
149,Everyone is offering street parking,parking,unknown,0.14722471
150,I want the space,parking,unknown,0.41920578
151,Liked “Yes the promotion is still on going.”,unknown,unknown,0.21408817
152,Last but not least the bunk bed has got to go,unknown,unknown,0.5610208
153,Can they open up for 10 minutes I can't do any of these,tourBooking,unknown,0.31656405
154,Don't want to get towed,parking,unknown,0.5629671
155,Is all utilities included garbage electricity heat,utility,unitAssignment,0.045300107
156,I just want to know if I can park in that space while waiting for my apt,parking,tourBooking,0.1651333
157,Because the other units are in soma area,nearbyAttractions,unknown,0.08872505
158,What are requirements to move in,moveInCost,unitAssignment,0.059617706
159,"Hi there! Yes please! 
I also have a couple questions. How much is the initial deposit? And are utilities included? ",deposit,unitAssignment,0.19801477
160,feedback survey. Please inform the office before lease signing.,unknown,unknown,0.24680786
161,I I'll get this too right,unknown,unknown,0.7099028
162,"Thank so much,I'm available Tuesday at 6:45pm",tourBooking,unknown,0.49268746
163,Is it virtual? I am currently located in SoCal,virtualTour,tourBooking,0.14595969
164,"Hello, I would like to schedule a tour for Saturday 13, I would like to see studio #302",tourBooking,tourBooking,0.3410996
165,Confirming that the apartment is cat friendly?,pet,unknown,0.0772636
166,"I would like to yes. Monday - Thursday after 5pm is when my wife and I would be available, is there a time next week that schedule might work? ",tourBooking,tourBooking,0.26535684
167,"Sorry about this but I have to cancel this appointment, I used Zillow to contact you but I was on 1490 pine not 1739, not sure why zilliow sent me to this address and not
The unit I was viewing ",unknown,unknown,0.45393613
168,Yes I would. I think I did a virtual tour,unknown,unknown,0.39794824
169,Is it a live tour or prerecorded?,tourOptions,tourBooking,0.06911938
170,Ok. Is the live tour an option?,tourOptions,tourBooking,0.13313007
171,"On the website it said a live video tour was an option, not just a  recorded video ",tourOptions,tourBooking,0.10654953
172,Thanks! Are there any units available with balcony?,amenities,unitAssignment,0.118147075
173,What property,unknown,unknown,0.28230965
174,Is the 2/13 in person or can I do it via a video call with an agent?,tourOptions,tourBooking,0.10428712
175,"Hello Ryan! Thank you for reaching out. I would love to schedule a showing. I can do this evening if possible, or anytime this weekend. ",tourBooking,unknown,0.5059207
176,Hi yes I Would like to schedule,tourBooking,unknown,0.5223917
177,https://www.zumper.com/apartment-buildings/p226885/1025-post-downtown-san-francisco-ca?bsft_eid=f0a0cafe-a1f3-4e5d-93db-897abc412ad2&bsft_aaid=aa62ecf7-2655-4bf,propertyWebsiteLink,unknown,0.2197002
178,0-bcce-26e6dd5fb92e&bsft_pid=fce702a5-625b-4905-84b9-ff13b512ee06&utm_campaign=1-week-reminder-for-viewed-in-last-day&utm_source=blueshift&utm_medium=email&bsft,unknown,unitAssignment,0.21321918
179,I called the # and SF rent answered Marcus,unknown,unknown,0.3675944
180,https://www.zumper.com/apartment-buildings/p268509/635-ellis-tenderloin-san-francisco-ca,propertyWebsiteLink,unknown,0.1500774
181,Hey does Saturday still work?,tourBooking,unknown,0.16722271
182,"Hi! I would like to prematurely schedule a virtual tour. I'm living in Covington, Kentucky right now but have job prospects in San Francisco. ",virtualTour,tourBooking,0.27740887
183,2badrom,unknown,unknown,0.5193553
184,Oh can we look at all of those apt? They're all same price po dba?,tourBooking,unitAssignment,0.43646115
185,Will be available tomorrow morning 10am. Thank you for your response,tourBooking,unknown,0.52305984
186,What space do I park in today,parking,tourBooking,0.057559017
187,"Hi, my job temporarily shut down till Tuesday for some maintenance, any availability for a tour before then starting tomorrow ? ",tourBooking,tourBooking,0.23121485
188,"I'm sorry, I take that back, we were just alerted that we're reopening, darn.",unknown,unknown,0.5374325
189,We are applying now,unknown,unknown,0.42884576
190,Yea i would like to!,unknown,unknown,0.6502248
191,"Thanks for the reply I will definitely  be there at 5pm on Tuesday  February  16th to meet  with  Mr. Gothberg, and thank you  for your time 
Kenneth Quivers ",tourBooking,unknown,0.47977695
192,Monday works great,tourBooking,unknown,0.5184298
193,400 less than what I'm paying now,moveInCost,unknown,0.38082725
194,"Hey Ryan! I hope you are as well! 
Yes I'd like to schedule a tour. I was wondering also the availability of a 3 bed room - is that something you have? ",tourBooking,tourBooking,0.2562376
195,But what's the price,whatIntent_rent,unknown,0.39966756
196,With deposit?,deposit,unknown,0.10678522
197,What is the price for a studio,whatIntent_rent,unitAssignment,0.4689037
198,sorry but is this studio for 3 people?,unknown,unitAssignment,0.18117936
199,I need this studio🥺,unknown,unknown,0.65209895
200,yes. I would like a virtual tour,virtualTour,unknown,0.40072522
201,I work Tues thru Sat,unknown,unknown,0.6174535
202,when are those available?,unknown,unknown,0.17578591
203,I have all the required documentation,unknown,unknown,0.43488774
204,"Hi, yes I'm interested. Is it possible to do a remote tour? I'm actually moving to San Francisco for a job so I'm not in the city yet. ",virtualTour,tourBooking,0.25401664
205,Thanks for reaching out,unknown,unknown,0.6984681
206,Wed Feb 17 11.30 am works for me,tourBooking,unknown,0.6092773
207,"also what are the details of the move-in/furniture promotion?
",leasingOfficePromotion,unitAssignment,0.051849768
208,How much is it,whatIntent_rent,unitAssignment,0.39387107
209,The application and guarantor application,leaseGaurantor,unknown,0.040217675
210,Friday works! I'm a chef so work early morning at 6 till 2:30 so Friday works!,tourBooking,unknown,0.40695518
211,Ok sounds good,unknown,unknown,0.7302964
212,Do you have rentals other than San Francisco,unknown,unknown,0.1607789
213,Perfect. Could you please share pictures of the interior of the units that are up for rent,amenities,unitAssignment,0.21707793
214,Hi Ryan.. thank you for your email.Is this palace court apartments? Can you confirm the price range for studio?,moveInCost,unitAssignment,0.2402983
215,I work all day Saturday so sadly that doesn't work for me.,unknown,unknown,0.38450533
216,And no worries! Thank you so much for getting back to me Ryan!,unknown,unknown,0.6565327
217,I am currently in San Diego and would like a virtual tour today or tomorrow,virtualTour,unknown,0.30777577
218,Do you have any availability on Sunday?,leaseGaurantor,tourBooking,0.2514836
219,Do you have studio or any 1 bedroom apartments available anywhere else in the city? Like the mission or elsewhere?,nearbyAttractions,unitAssignment,0.20675226
220,I cannot..I work during those hrs..im off work at 830pm,unknown,unknown,0.41552275
221,Did you rent out #5 yet?..its been posted off the market,tourBooking,unknown,0.39562786
222,I just wanted to know more about utilities and amenities,amenities,unitAssignment,0.12238193
223,"Hi Ryan!
Thank you
This studio is actually for my son.
My son and I would like to see it 
",tourBooking,unknown,0.49695352
224,Will you be able to do a virtual tour?,virtualTour,tourBooking,0.23392151
225,Whats the address again,community_address,unknown,0.4184215
226,Thank you! One more q would I be able to see a two bed room too and also what is the price diff,moveInCost,unitAssignment,0.6359211
227,What's the best option  for me in the mission for a studio?,moveInCost,unknown,0.26158354
228,What Studios do you have available in the mission district?,unknown,unitAssignment,0.111661196
229,Do you have other Apts available at that price?,moveInCost,unitAssignment,0.21306145
230,Just want to follow up if he is waiitng for me,unknown,unknown,0.43347776
231,Hi there! Waiting to hear back from my friend regards getting a place. I was actually helping her to find one. Let you know. Thank you!,unknown,unknown,0.6665649
232,"Hello Ryan 
Let me check and I will let you know 
Thanks ",unknown,unknown,0.6713181
233,"Hi Ryan, sorry I need to reschedule the tour, would it be possible tomorrow morning?",tourBooking,tourBooking,0.28592324
234,I definitely would,unknown,unknown,0.7260438
235,Yes I've scheduled a tour for tomorrow,tourBooking,unknown,0.45864812
236,"Hi, I would like to know if a Guarantor is required and if there is a security deposit?",leaseGaurantor,unitAssignment,0.07813171
237,"Can I see it tomorrow after work, 5:45pm?",tourBooking,unknown,0.37262025
238,I keep getting text,unknown,unknown,0.5793791
239,Get you some sleep god,unknown,unknown,0.7146193
240,Can you please text me which apartment ?,community_address,unknown,0.121260814
241,"Hi Ryan, to thanks for texting me. Yeah, I'd like to schedule a tour and see the place, I'm available on weekends. Let me know a good time for you.",tourBooking,unknown,0.5195459
242,Does the property offer a private bathroom and bedroom ?,amenities,unitAssignment,0.04795978
243,"Ryan , Thank you for showing the room for me ...I will call again soon  ...",unknown,unknown,0.63833326
244,I won't be available this Saturday,tourBooking,unknown,0.45844057
245,What was the price again ?,whatIntent_rent,unknown,0.38067713
246,What will be included in that again ?,amenities,unknown,0.08633477
247,What is included with the rent ?,amenities,unitAssignment,0.1326022
248,Really a studio  or 1 bed,amenities,unitAssignment,0.43736562
249,"Okey that's work for me,",unknown,unknown,0.62887216
250,I just left downtown can send a virtual video or pics again ?,propertyWebsiteLink,tourBooking,0.15694962
251,Many thanks,unknown,unknown,0.73714554
252,Hi so I scheduled a tour and it's supposedly at this time. What number would I reach them at?,tourBooking,unknown,0.25116584
253,Let me know I'll send app,unknown,unknown,0.59861135
254,I said 8:00pm don't believe you heard me correct I can do that time sun,tourBooking,unknown,0.48005942
255,"Sat Feb 27, 2-2:30 is good!",tourBooking,unknown,0.5087562
256,Can I go head do app,unknown,unknown,0.3904836
257,"Hi Ryan, yes please I would like to set up a tour of the property. ",tourBooking,unknown,0.39579016
258,Just making sure that the property is $1425 a month?,whatIntent_rent,unknown,0.37491804
259,I am canceling the 500pm tour of 555 O’farrell on the 25 of February.,unknown,unknown,0.42057043
260,Thanks so much! How long is the lease may I ask?,leasePeriod,unitAssignment,0.25159115
261,Hey are you guys available for 3:30 or should I just wait until Tuesday?,leasingOfficeHoursTuesday,unknown,0.38242915
262,Hey Ryan! I scheduled an appointment for 2pm tomorrow to see the place,tourBooking,unknown,0.5454102
263,"Ok, I can be there 4-4:15. Ok for you? Parking?",parking,unknown,0.36033684
264,We we're heading from another place in Oakland,unknown,unknown,0.5628742
265,"Thank you so much
Good night ",unknown,unknown,0.72920084
266,Will do. I got your email and will get something scheduled. Thanks!,tourBooking,unknown,0.60872644
267,Unavailable,unknown,unknown,0.6618811
268,Would I be able to make another appointment for another day?,tourBooking,unknown,0.16193518
269,Hi yes I would like that,unknown,unknown,0.6858444
270,"Hi Ryan, thanks for reaching out.  I would like to schedule a tour. Any chance that tomorrow morning would work?",tourBooking,unknown,0.4581484
271,Yeah if that's the earliest you got then that works,unknown,unknown,0.6399667
272,Questioned “I've scheduled you for 6 PM viewing on Tuesday 02/23/21. See you there! Take care.”,unknown,unknown,0.43003374
273,"Hi, I wasn't asked to pay a fee for the application. Is there a step I may have missed? Thanks!",applicationFee,unknown,0.25447148
274,i want to schedule a tour,tourBooking,tourBooking,0.29688644
275,can i come for a tour,tourBooking,unknown,0.4134049
276,"i want to schedule a tour
VK",tourBooking,unknown,0.35707593
277,Let go with Thursday at 6,tourBooking,unknown,0.40109015
278,Or can you let me know when you have time Wednesday night and after. I'm currently mini vacationing with my son until work Wednesday?,leasingOfficeHoursWednesday,tourBooking,0.3046353
279,Thursday 6 is good 👍,unknown,unknown,0.5419409
280,I would like to!,unknown,unknown,0.66507226
281,Hi! Thanks for reaching out!,unknown,unknown,0.6855289
282,My boyfriend is scheduled for a tour later today. His name is Jamen Suter-Donaldson!,tourBooking,unknown,0.37430888
283,I'm available today or Friday afternoon or any time next weekend,tourBooking,unknown,0.46925905
284,"Hi Ryan, I have a question. There are two prices listed on both apartments.com and the link in your email. What is the price for the studios ? ",whatIntent_rent,unitAssignment,0.39825258
285,I have time tomorrow and Wednesday-,tourBooking,unknown,0.3950164
286,Thank you so much,unknown,unknown,0.7189355
287,Works the best,unknown,unknown,0.68531114
288,"Hi, I believe I already sent in my application and was told it is being processed",applicationProcess,tourBooking,0.16063842
289,Haven't had the tour yet,unknown,unknown,0.5549892
290,How much is it?,unknown,unknown,0.4618546
291,I'm viewing property this Saturday,unknown,unknown,0.54617006
292,I can come then,unknown,unknown,0.646156
293,Unit 208.,unknown,unknown,0.51629585
294,Removed a question mark from “I've scheduled you for 6 PM viewing on Tuesday 02/23/21. See you there! Take care.”,unknown,unknown,0.48458
295,Haven't taken a tour yet,unknown,unknown,0.539012
296,It was 1500 but The highest would be 1800 maybe,whatIntent_rent,unknown,0.40129566
297,Sure but you know we are moving in may at most,unknown,unknown,0.44358712
298,So will he approve if we tried to get that apartment?,unknown,unknown,0.2671566
299,"Thank you, when we get to the place will this person be there?",unknown,unknown,0.32174453
300,"Hello, I  stuck at a meeting. Do you have any availability over the weekend ?",tourBooking,unknown,0.34480107
301,Yea just needed to know if I did a all cash payment for rent will i have to pass a credit check? I'm a college student so I have crap credit history!,creditScore,unitAssignment,0.119921006
302,Thank you for contacting me. If possible Can we schedule a tour for Thursday or Friday. Thank you,tourBooking,unknown,0.4819444
303,How much is the apartment? Does the property pay for utilities?,moveInCost,unitAssignment,0.23661582
304,I would like to schedule a tour,tourBooking,unknown,0.3317183
305,There's was no price on these two what are the prices,whatIntent_rent,unitAssignment,0.62541276
306,"Hello Ryan, is the 6:00pm appt for the moving still available for tomorrow???",tourBooking,tourBooking,0.3029265
307,"Thank you so much for reaching out to me! I am very much interested in the studio apartment for $1395. I would love to see the place if it is still available. I can be available tomorrow at 11:45am. However, I am in Southern California so if a virtual toor is possible that would be great!",virtualTour,unknown,0.3252036
308,"Hi Ryan, thanks for reaching out. Not quite yet but I'm considering. 

I wanted to ask where the bathrooms and showers are, also the cost of the rent and deposit. Do you allow students to stay at your apartments?",unknown,unknown,0.28517297
309,Someone already reached out to me about that place from sf rent,unknown,unknown,0.58262324
310,"Awesome, this is a great space and am really interested. What is the application process and how can I start?",applicationProcess,tourBooking,0.11504391
311,I would like to apply for a studio that was advertised for $1395 if it is still available.,applicationProcess,unitAssignment,0.23691393
312,Is the tour tomorrow at 6:00 for #306 or #406 1461 Alice or both?,tourBooking,tourBooking,0.2793284
313,Good- thank you 🙏,unknown,unknown,0.7313678
314,Oky thankes good,unknown,unknown,0.7381133
315,"hi ryan, i was looking to learn more about the apartment and the requirements for applicant consideration.",applicationProcess,tourBooking,0.16417176
316,"i can't call right now, but the best day for me to schedule a tour would be monday march 1st. or a virtual tour",virtualTour,unknown,0.319808
317,that sounds good,unknown,unknown,0.69831014
318,hear*,unknown,unknown,0.702287
319,"Hey Ryan, I'm still just looking but if I do schedule a tour I'll let you know. Thank you.",tourBooking,unknown,0.6210101
320,"Good morning sorry for the delayed response but yes would like to schedule a tour, preferably tomorrow ",tourBooking,unknown,0.36945152
321,saturday works,unknown,unknown,0.518472
322,Okay sure a virtual tour,virtualTour,unknown,0.5521204
323,Tienen apartamentos disponibles de 2 recámaras,unknown,unknown,0.7404474
324,"Hi Ryan , what is the price on this place?",whatIntent_rent,unknown,0.35841024
325,Hey Kelsey. Thanks for the message. Actually I was wondering do you have any studios available? Also is month to month and option?,unknown,tourBooking,0.21787006
326,I would like to do you have anything available on Sunday?,tourBooking,tourBooking,0.2773478
327,Sorry tomorrow i need to cancel,tourBooking,unknown,0.5335143
328,Where you send for me?,unknown,unknown,0.45946592
329,So I have a lease rn that ends in may,unknown,unknown,0.35355303
330,I'm looking for a may move in so if you don't get it rented by then,tourBooking,unknown,0.2358578
331,"Hello, I'd like to cancel my tour.",tourBooking,unknown,0.28278646
332,Thank u I have my appt with him tomarrow I hope he gets the voicemail I cant get there until 3 30 instead of noon time thanks again,tourBooking,unknown,0.5605102
333,Yeah I like that one. Are you guys primarily located in downtown sf?,community_address,unknown,0.10871573
334,"I know lower nob hill is a little pricier, but I would be okay with a studio within that price range there. Do you have any listings there? ",unknown,unknown,0.44147682
335,"Hi Ryan. Yes, my roommate and I would love to schedule a tour. Does Sunday work?",tourBooking,tourBooking,0.3215945
336,Thank you so much.,unknown,unknown,0.7264146
337,"Hi! Are you available tomorrow, Saturday? ",leasingOfficeHoursSaturday,unknown,0.3125085
338,"1 is fine. I'll rearrange some things, thanks! ",tourBooking,unknown,0.5654514
339,Can you send me a vr tour,virtualTour,tourBooking,0.256711
340,Sunday works for me,tourBooking,unknown,0.5996301
341,Or else virtual tour is okay too,virtualTour,unknown,0.26673988
342,hello Ryan thank you for your attention ok I am free that Saturday or Sunday if possible I would like to visit thank you.,tourBooking,unknown,0.3739199
343,How much is the rent?,whatIntent_rent,unitAssignment,0.4441608
344,"Hello, thank you. What is the location of the 1 bedroom apartment? ",community_address,unitAssignment,0.22489889
345,"Hi! I'm still looking for a rental - anything max 1300 with utilities included, either a 1br/studio, and commuting distance to dogpatch",unknown,unitAssignment,0.36418012
346,"Hi, sorry for the late response. I just seem that I'm not qualified, because my income is not enough. ",unknown,unknown,0.4586047
347,What utilities are included in the rent?,utility,unitAssignment,0.08721254
348,It a have to be virtually.,virtualTour,unknown,0.52023655
349,This the address?,community_address,unknown,0.13945934
350,"Thanks for reaching out, I've signed up for an open house on 3/06. Is anything else required?",tourBooking,unknown,0.31882998
351,Yeah that'll work,unknown,unknown,0.71015036
352,Yes Let's schedule a tour,tourBooking,unknown,0.3688718
353,Saturday Mar 06 3:00 PM works,unknown,unknown,0.5231558
354,Why are you texting me this late?,unknown,unknown,0.43840647
