utterance,expected
"Hey, thanks so much for the quick response! I wasn't able to, I came across the listing on Realtor.com, but assuming I'd have to make the profile through Bungalow?",NeedsHelp
Hi Kelsey not yet didn't create a profile just looking to take a look at the room and also inquire the deposit amount and lease thank you,NeedsHelp
"My apologies, I see the email now. I am in the process of creating a profile right now",MakingProfileRightNow
Hi Kelsey thank you so much! I just made a profile to chat with my potential roomies so hopefully they accept!,MadeProfile
i'll be creating a profile shortly,NeedsHelp
"Hi Kelsey! Thanks for contacting me.

I have a profile on HotPads which is where I found this listing. I would like to check out the apartment most of all",MadeProfile
"Hi, no I haven't created my profile yet. This is through the site bungalow you said?  What does the process entail/what documents do you require?",NeedsHelp
Okay I made my profile,MadeProfile
No I haven't created a profile,NeedsHelp
A profile?,NeedsHelp
I did create a profile! I think I get how it works. Thanks!,MadeProfile
"Hello Kelsey. I actually went through the listing where the pages took and l found out that the ages are from 18-40years. 

I am 54years and my husband is also 54 with a 10years old son. Am l still qualified to provide my profile?",UNKNOWN
No I have not and thanks for reaching out. I am relocating from Ohio to over to California to further his career and mines So wanted to know if you had any unites or property available for just a single family and also I'm not sure if I created a profile i think I have for your company. Can you still help?,UNKNOWN
"Hi Kelsey, I'm just creating a profile here. And wow: truly fast 💨 customer service here, I'm pretty impressed.",MakingProfileRightNow
I was going to make a profile now,NeedsHelp
Where's the profile,NeedsHelp
I have not yet set up a profile and I would like to know about the application process plz,NeedsHelp
"Hi Kelsey! I'm new to the bungalow website. I'm making a profile now. However I do have a few questions, how old do you have to be to live there? And what are the requirements?",MakingProfileRightNow
How can I create a profile,MadeProfile
"Yes, I just created a profiled and looked over the processes",MadeProfile
"Yes I have a profile under hotpads, how much do you pay for the monthly utilities?",MadeProfile
Hi Kelsey. Yes completing profile now,MadeProfile
"I don’t have a public profile to link to my bungalow account, so the system wouldn’t let me connect with anyone there.",UNKNOWN
My profile is complete,MadeProfile
"Hi Kelsey!
Thank you so much for reaching out. I am creating my profile right now and was interested in the Bungalow process.",MakingProfileRightNow
"Hi, Kelsey! Thanks so much for reaching out. The space is so gorgeous and well located! Is the listing compatible with a February 27/28 move in date? I'm starting my profile creation now :)",MakingProfileRightNow
"Hello, and thanks for the response. I want to know what requirements are there to rent the room. I haven't made a profile yet.",NeedsHelp
"Perfect, thanks! I just finished my profile and sent a chat request :)",MadeProfile
Hello. This is my first time using Bungalow. I created a profile and started a chat.,MadeProfile
Hi! I am actually currently creating my profile so I can chat with them,MakingProfileRightNow
"I haven't, where do I create a profile?",NeedsHelp
Creating a account profile now,MakingProfileRightNow
I just signed up and created a profile on Diggz,MadeProfile
I haven't created a profile yet.,NeedsHelp
"Kelsey, thank you for the text. I have yet to fill out a profile. I will get to that ASAP. Thank you again and have a wonderful evening.",NeedsHelp
No I have not started a profile yet and will do so shortly.thank you for your time.,NeedsHelp
Oh I made a profile,MadeProfile
"Hi Kelsey,
I did created profile, answered questions, the room don't match with my answers. 
Thank you for reaching out. ",MadeProfile
"Hey Kelsey, in the process, creating the profile",MakingProfileRightNow
"Thank you 
I'll chat with them 
I'll create a profile on bungalow ",NeedsHelp
No questions. Will create profile today,NeedsHelp
"Hey, I'm setting up a profile now!",MakingProfileRightNow
Yes I was able to create a profile. I haven't started a chat yet. I'm still weighing out my options at the moment. Don't want to jump in to anything yet.,MadeProfile
"Hi there! I have made a profile, how do I get in touch with room mates?",MadeProfile
Understood I'm setting up the profile now,MakingProfileRightNow
"Hello Kelsey, thanks for the quick response, I do have a few questions about the place some of which I listed in the hotpads message I sent. But first what is the profile your talking about? Also, since the place us in East Boston, can you hear airplanes often flying in and out of logan?",NeedsHelp
"Hi! Thank you so much, I'm creating a profile right now, but I would like to have more information about the place, and what so I need to rent the room.",MakingProfileRightNow
"And yes, I have created a profile and was deemed a match",MadeProfile
Im just starting to create my profile! I'm a healthcare professional who is in need of a room rental immediately. I especially love this area and the space for rent. Is there any way I can directly contact the roommates?,MakingProfileRightNow
I started a profile to chat,MadeProfile
and no i haven't made my profile yet i don't think,NeedsHelp
I think I just finished creating a profile. I am looking at so many places I'm confusing myself. You are on roomies.com?,MadeProfile
But my profile is complete,MadeProfile
"Hi Kelsey. Yes, as I was putting my information in there was a move in date auto filled for Feb 15th, is that the correct move in date? And no I didn't create a profile. I will do that now. Also are there any other fees, how long can I lease and is a guarantor required?",UNKNOWN
"No, I haven't had a chance to create a profile but, I do have a few questions. Can we talk tomorrow about the process?",NeedsHelp
I created a profile and I joined the waiting list to connect with the roommates.,MadeProfile
"The error says ""error accepting invitation, please contact our team for assistance"", also I tried to access this through the app but it says that no profile matches my login information",UNKNOWN
I have not yet had a chance to create a profile. It is also listed as a 1 bed 1 bath so I was not aware that this would be a shared space?,NeedsHelp
"Okay, sounds good ! And yes I created my profile !",MadeProfile
Yes I was able to create a profile already,MadeProfile
"Yes, I believe I have created a profile already. but yes I would like to know more before I proceed with anything. Is there a way I may get in contact with any of the roommates? I'm currently on the website using my phone.",MadeProfile
Can you tell me how I go about starting my profile,NeedsHelp
I didn't see any link to create a profile,NeedsHelp
"Hello, I just created my profile and messaged one place",MadeProfile
Hi I just completed the profile. I'm new to this and I'm learning how to use bungalow,MadeProfile
Hey Kelsey! Finishing my profile now. Could you share more about the process and lead time once I've submitted an inquiry?,MadeProfile
Is the only way to chat if I create a profile?,UNKNOWN
"I haven't had a chance to create a profile yet, but I'm excited to make a change and start a conversation!",NeedsHelp
I have not created a profile yet,NeedsHelp
"Yes, I've been talking to several agencies, what website do I go to start the profile?",NeedsHelp
I don't see where to contact the room mate. He did however mention on his profile everything I need to know not to live with him so that's handy.,UNKNOWN
Hi I have completed my profile and sent a chat. Do they know that I am interested?,MadeProfile
I have created a profile!,MadeProfile
I already created a profile!,MadeProfile
No profile yet.,NeedsHelp
"Yes, i am willing to create profile cos i am interested to rent.",NeedsHelp
"Hi, Kelsey! Thank you for reaching out so quickly. I would appreciate it if you would explain both the room for rent and the rental process. Thank you. I have not created a profile yet",NeedsHelp
hey Kelsey! how can I create a profile?,NeedsHelp
Yes I need to start my profile,NeedsHelp
I haven't had a chance to create my profile. I'm not sure how to do that.,NeedsHelp
"I don't have to many questions. I just want to schedule a tour. I'm not sure if i set up the profile already, how do i go about that ?",NeedsHelp
Yes I have created a profile,MadeProfile
I have had my profile for a bit now already...,MadeProfile
I just finished profile,MadeProfile
How do i create the profile,NeedsHelp
I just finished setting up my profile and reaching out.,MadeProfile
Yes as far as I know I have finished my Bungalow profile,MadeProfile
What profile,NeedsHelp
"Liked “I can help you with that! Please head over to the listing on our website here: https://bungalow.com/rooms-for-rent/bay-area/beautifully-updated-nopa-home-near-the-university-of-sf. Once you are on the listing page, look for the Orange/Pink “Get Started” button. From there you will be asked a series of questions regarding you and your rental preferences. Once you’ve created your profile, you can then request to chat with your potential roommate(s). Let me know once you’ve completed your profile. I’m here to help!”",UNKNOWN
“I do have a question.  I’m a little confused on the rental process. Can you explain more. The first step is to create a profile ?”,NeedsHelp
"Hello,

I am interested in your available units. Are there any master bedrooms or larger bedrooms available? Also are dogs allowed? How do I go about setting up my profile? Thanks for all your help! ",NeedsHelp
Hey Kelsey yes I've started a profile but I wanted to know exactly how it works cause I'm need of really finding a room,MadeProfile
I've set up my profile but I haven't spoken to someone from the property,MadeProfile
"Not that I can think of, I created a profile and started a chat.",MadeProfile
I tried to make a profile,MakingProfileRightNow
Yes sure I'll create my profile !,NeedsHelp
No I haven't created a profile yet how do I go about that,NeedsHelp
Hi Kelsey I have created a profile but haven't had a chance to chat with the roommates yet but will get to it as soon as I can,MadeProfile
"Hi Kelsey! 
I just made a profile through Bungalow, and reached out to start a chat with the roommates. I'd love to know if there's a chance to talk or chat about the place in person?",MadeProfile
"I'm making the profile now, but I connected my google account and my name is Leah Lacseul. I just changed it. I'm looking to get the 950",MakingProfileRightNow
Where do I create a profile?,NeedsHelp
What is the criteria to be approved and how can I create a profile?,NeedsHelp
"Oh wow hello you guys are fast, yeah I'm just finishing up my profile right now. Haven't had a chance to speak with the potential roommates as of yet though!",MadeProfile
No but do I have to have a profile?,NeedsHelp
Hi! I created my profile but I haven't chatted with anyone,MadeProfile
Yes I made a profile,MadeProfile
"Hi kelsey!
Yea any info you can give me about the rental process.
I havent had a chance to make a profile, but i would love to chat with the potential room mates",NeedsHelp
A profile where exactly?,NeedsHelp
Need to make a profile,NeedsHelp
"Actually Kelsey I had a question... I've matched the with the house residents that I was hoping to rent with and filled out my profile/messaged them but haven't heard back in the past 2r hours. Since there is only a 48 he window, should I expect to hear from them?",UNKNOWN
No I haven't made a profile yet how do I go about making one,NeedsHelp
No profile create yet,NeedsHelp
Now how do I create a profile,NeedsHelp
"Is there a desk and chair in the room? Are utilities and WiFi available and covered? How is the common area shared when we don't know each other? Is it cleaned? 

No I haven't created a profile yet. Still not sure ",NeedsHelp
I haven't made a profile yet at work right now,NeedsHelp
I made a profile,NeedsHelp
I do need to create a profile,NeedsHelp
Thank you Kelsey for reaching out. I have never used Bungalow before. What is the link I should use to create a profile and start a chat?,NeedsHelp
I created profile. Nobody has chatted with me yet.,MadeProfile
Yes I did create a profile and with like to know the price of the room and how soon is it available,MadeProfile
I didn't create a profile yet and I would like to get my questions answered first to be honest,NeedsHelp
I am looking for a studio or one bed apartment .. I will be the only one residing at the home with one small dog .. where would I create that profile ?,NeedsHelp
A profile where?,NeedsHelp
"Hello, I was browsing your site and would be interested in a serious inquiry in the near future. I have created a profile. What specifically is needed to qualify to rent a room?  Thank you!",MadeProfile
"Hi Kelsey, I know nothing about this process. I am actually aiding my 24-year old son in finding a place similar to this one on the westside/Santa Monica/ to moved into on Feb. 1st. How is the best way to get him started? Where's the profile part? Thanks for your help!",NeedsHelp
"Ok that's great. I am allergic to cats, dogs and hamsters, also roaches. I have not created a profile.",NeedsHelp
"Yes! I was wondering if I could have a tour of the room? 
Also, do I have to create a profile even if I don't want roommates? ",NeedsHelp
"Hi, Kelsey! I have not yet created a profile, although I do have a roommate that I will be looking to move in with.",NeedsHelp
"No I haven't, where do I create a profile??",NeedsHelp
"Hi Kelsey, I ended up moving on with different option. Kindly discard my inquiry. Thank you.",UNKNOWN
I found a place already,UNKNOWN
I created a profile on Zumper but not any other profile beside that,NeedsHelp
I have not made a profile yet. When would be the earliest move in date?,NeedsHelp
Also I have not created a profile yet. Thank you for the help.,NeedsHelp
how do i create a profile?,NeedsHelp
I have not. Send the info,NeedsHelp
What profile,NeedsHelp
Hey. Yeah I'm creating a profile now. Just looking for places in DC,MakingProfileRightNow
No I haven't created a profile. Is that on Bungalow?,NeedsHelp
"I do have a couple of questions! I have not had the chance to create a profile yet, and would I be able to rent short term for only the month of june?",NeedsHelp
And I'm filling out my application right now,MakingProfileRightNow
I never made a profile,NeedsHelp
I have not! What's the process like?,NeedsHelp
No I have not. I would love to get started immediately and chat with my potential roommate(s).,NeedsHelp
what's your rental process ,UNKNOWN
